route_number,route_id
1218,4001-04
1219,4001-05
1239,4001-06
3494,4001-07
3495,4001-08
3496,4001-09
3497,4001-10
1215,4002-01
1301,4002-02
4636,4003-01
4639,4004-01
312,401-01
313,401-03
315,402-01
316,402-03
317,402-04
318,402-05
319,402-06
324,4030-02
321,403-01
322,403-02
962,4031-01
6246,4031-02
326,4032-01
327,4032-02
1762,4032-03
6278,4032-04
329,4033-01
863,4033-02
1068,4033-03
6279,4033-04
331,4034-01
332,4034-02
857,4034-03
859,4034-04
1073,4034-05
1075,4034-06
3034,4034-07
3035,4034-08
4398,4034-09
4399,4034-10
6280,4034-11
6460,4034-12
8058,4034-13
5295,4036-01
5716,4037-01
6281,4037-02
6878,4037-03
2816,404-01
5297,405-01
5706,406-01
734,4102-01
735,4102-02
2434,4102-03
5896,4102-04
6211,4102-05
6418,4102-06
334,4103-01
335,4103-02
2074,4103-05
4736,4103-06
6208,4103-07
7378,4103-08
7700,4103-09
7701,4103-10
7498,4103-11
7679,4103-12
7680,4103-13
337,4106-01
338,4106-02
6206,4106-03
340,4107-01
341,4107-02
3363,4107-04
4696,4107-06
6204,4107-07
6371,4107-08
343,4107R-01
796,4107R-02
889,4107R-03
966,4107R-04
963,4107R-05
964,4107R-06
965,4107R-07
345,4108-01
346,4108-02
3364,4108-03
5979,4108-04
6215,4108-05
6373,4108-06
737,4110-01
2856,4110-03
2857,4110-04
3365,4110-05
6216,4110-06
7958,4110-07
739,4111-01
740,4111-02
741,4111-03
1582,4111-04
1583,4111-05
2635,4111-06
3366,4111-07
3367,4111-08
3368,4111-09
3369,4111-10
6377,4111-11
6375,4111-12
348,4113-01
349,4113-03
3370,4113-05
3371,4113-06
4856,4113-07
6219,4113-08
6380,4113-09
743,4114-01
744,4114-02
6220,4114-03
351,4150-02
2996,4150-03
353,4201-01
3372,4201-03
6221,4201-04
7823,4201-05
6366,4201-06
355,4205-01
6222,4205-03
357,4403A-01
358,4403A-03
5319,4403A-05
6256,4403A-06
6257,4403A-07
8098,4403A-08
6367,4403B-05
360,4403C-01
6368,4403C-03
362,4403D-01
3536,4403D-03
6258,4403D-04
6420,4403D-05
364,4405-01
365,4405-03
366,4405-05
5957,4405-06
6250,4405-07
6251,4405-08
6252,4405-09
368,4410-01
369,4410-02
370,4410-03
6253,4410-04
372,4501-01
1441,4501-02
3295,4501-03
3540,4501-04
6223,4501-05
6225,4501-06
374,4801A-01
890,4801A-02
3322,4801A-03
3323,4801A-04
6345,4801A-05
6346,4801A-07
376,4802A-01
377,4802A-02
378,4802A-03
1822,4802A-04
2374,4802A-05
3435,4802A-06
3436,4802A-07
3437,4802A-08
6347,4802A-09
6348,4802A-10
6349,4802A-11
7798,4802A-12
5559,50-01
1196,5001-01
1233,5001-02
6578,50-02
1254,5002-01
6579,50-03
1256,5003-01
1258,5004-01
1260,5005-01
1252,5006-01
1263,5007-01
1266,5008-01
1269,5009-01
5483,50-10
1272,5010-01
1274,5011-01
1277,5012-01
1279,5013-01
1281,5014-01
1283,5015-01
1296,5015-02
1297,5015-03
1298,5015-04
1285,5016-01
1287,5017-01
1289,5018-01
1292,5019-01
382,5030-01
383,5030-02
384,5030-04
380,503-01
6798,503-02
386,5031-01
387,5031-02
6226,5031-03
7121,5033-01
7198,5033-02
389,504-01
6799,504-02
6125,5050-01
2895,505-01
2896,505-02
5322,506-01
5323,506-02
7018,506-03
7019,506-04
3700,507-01
5563,510-01
6800,510-02
6801,510-03
6802,510-04
5564,51-01
391,5101-01
392,5101-02
6227,5101-03
5566,51-02
394,5102-01
395,5102-02
396,5102-03
397,5102-04
398,5102-05
878,5102-06
879,5102-07
880,5102-08
2914,5102-09
2915,5102-10
6382,5102-11
6385,5102-12
5976,51-03
6421,51-04
7079,5104-01
7080,5104-02
7081,5104-03
7082,5104-04
7083,5104-05
7200,5104-06
7201,5104-07
6538,51-05
5700,5106-01
5701,5106-02
5702,5106-03
5703,5106-04
5704,5106-05
6058,5106-06
6431,5106-07
7140,5107-01
7480,5107-02
5708,511-01
6120,512-01
5569,52-01
400,5201-01
952,5201-03
1525,5201-04
2239,5201-05
2240,5201-06
2241,5201-07
2243,5201-08
5783,5201-09
5916,5201-10
6432,5201-11
7119,5203-01
7203,5203-02
5620,5250-01
5624,5250-02
5626,5250-03
5996,5250-04
6660,5250-05
6681,5250-06
3702,533-01
3704,535-01
6618,535-02
402,5401-01
2714,5401-03
3296,5401-04
5596,5401-05
5635,5401-06
6433,5401-07
5819,55-01
6918,55-02
758,5502A-01
759,5502A-03
2358,5502A-04
3235,5502A-05
3954,5502A-06
5176,5502A-07
761,5502B-01
1937,5502B-03
1954,5502B-04
1939,5502B-05
2734,5502B-06
4957,5502B-07
763,5502C-01
764,5502C-04
2196,5502C-05
2494,5502C-06
2495,5502C-07
2735,5502C-08
6365,5502C-09
6363,5502C-10
6361,5502C-11
7458,55-03
404,5503A-02
405,5503A-03
406,5503A-04
407,5503A-06
3717,5503A-07
5220,5503A-08
6259,5503A-09
6260,5503A-10
6261,5503A-11
6360,5503A-12
6358,5503A-13
409,5503B-02
6356,5503B-03
7459,55-04
7460,55-05
411,5505A-01
412,5505A-02
1242,5505A-03
1245,5505A-04
414,5505B-01
416,5506A-01
4976,5506A-02
6355,5506A-03
