stop_id,stop_name,stop_lat,stop_lon
100063400987,Ave Abilio Machado 987,-19.9070008205343,-43.9993551554548
100063401024,Ave Abilio Machado 1024,-19.90706295798824,-43.99918896458701
100063401205,Ave Abilio Machado 1205,-19.90522008694779,-44.00059690371073
100063401274,Ave Abilio Machado 1274,-19.90517188793056,-44.00046136385301
100063401499,Ave Abilio Machado 1499,-19.90433749005599,-44.00264398981512
100063401558,Ave Abilio Machado 1558,-19.90420578698736,-44.00265073785341
100063401709,Ave Abilio Machado 1709,-19.9024454933477,-44.00396562374473
100063401712,Ave Abilio Machado 1712,-19.90269877100636,-44.00370850211994
100063401867,Ave Abilio Machado 1867,-19.90145753516569,-44.0044515421809
100063401940,Ave Abilio Machado 1940,-19.90072172494295,-44.00467222485196
100063402027,Ave Abilio Machado 2027,-19.89989388269449,-44.00522371438852
100063402134,Ave Abilio Machado 2134,-19.8991597650409,-44.00542412899321
100063402297,Ave Abilio Machado 2297,-19.89763819086111,-44.00695295551342
100063402326,Ave Abilio Machado 2326,-19.89732544204859,-44.00737015159839
100063403000,Ave Abilio Machado 3000,-19.89544357485247,-44.00840885585235
100063403041,Ave Abilio Machado 3041,-19.89540902921188,-44.00856582504297
100065000005,Rua Furquim Werneck 5,-19.8449365520422,-43.9183925637406
100065000030,Rua Furquim Werneck 30,-19.8446351582146,-43.9184727169354
100065000039,Rua Furquim Werneck 39,-19.8407321377104,-43.9211294838959
100065000104,Rua Furquim Werneck 104,-19.8404935696055,-43.9206917516562
100065000203,Rua Furquim Werneck 203,-19.8389926759759,-43.9204999364454
100065000236,Rua Furquim Werneck 236,-19.8389044806088,-43.92043894285
100065000240,Rua Furquim Werneck 240,-19.842790459851,-43.9207423089028
100065000308,Rua Furquim Werneck 308,-19.8434829243163,-43.9195143003673
100065000715,Rua Furquim Werneck 715,-19.8383198389714,-43.9205822101263
100065000795,Rua Furquim Werneck 795,-19.837668090627,-43.9206554601882
100065000800,Rua Furquim Werneck 800,-19.8375366834484,-43.9206058354349
100065000960,Rua Furquim Werneck 960,-19.8357663768788,-43.920687787497
100065000965,Rua Furquim Werneck 965,-19.8357083807358,-43.9207346809132
100065001140,Rua Furquim Werneck 1140,-19.8343679414677,-43.920017285248
100065001259,Rua Furquim Werneck 1259,-19.8333025053559,-43.9203831260661
100065001260,Rua Furquim Werneck 1260,-19.8333404702006,-43.9203109697659
100088000069,Ave Acudes 69,-19.9290990936738,-44.0052083373651
100089200899,Rua Acucenas 899,-19.9379401509323,-43.9766779095446
100089201044,Rua Acucenas 1044,-19.9386403522527,-43.9782527281742
100089201071,Rua Acucenas 1071,-19.9387742011321,-43.9783994906443
100091100170,Rua Das Perpetuas 170,-19.9753114850649,-44.047907068603
100091100487,Rua Das Perpetuas 487,-19.9780956145888,-44.0483671694
100091100500,Rua Das Perpetuas 500,-19.9781577008379,-44.048487029225
