route_stop_id,route_id,stop_id,stop_sequence
654,107   01,101998600331,11
655,107   01,101998600057,12
656,107   01,105195000791,13
657,107   01,105195000657,14
658,107   01,105068201014,15
659,107   01,105068201206,16
660,107   01,101299000358,17
661,107   01,101299000530,18
662,107   01,101299000774,19
663,107   01,130162300040,20
664,107   01,130162300275,21
665,107   01,117230800203,22
666,107   01,117230800131,23
667,107   01,117230800071,24
668,107   01,117230800001,25
669,1145  01,105698100330,1
670,1145  01,106869800509,2
671,1145  01,106869800251,3
672,1145  01,106869800111,4
673,1145  01,111890400071,5
674,1145  01,111890400004,6
675,1145  01,103448001247,7
676,1145  01,103448000821,8
677,1145  01,103448000619,9
678,1145  01,103448000387,10
679,1145  01,103448000199,11
680,1145  01,108106700045,12
681,1145  01,104562900106,13
682,1145  01,105908100325,14
683,1145  01,104199000122,15
684,1145  01,102365000262,16
685,1145  01,105514000085,17
686,1145  01,108351300060,18
687,1145  01,300542500345,19
688,1145  01,300542500065,20
689,1145  01,300154809406,21
690,1145  01,100314009615,22
691,1145  01,100314008787,23
692,1145  01,100314008355,24
693,1145  01,100314007055,25
694,1145  01,100314006555,26
695,1145  01,100314005385,27
696,1145  01,100314005055,28
697,1145  01,100314003787,29
698,1145  01,100314003475,30
699,1145  01,100314003203,31
700,1145  01,100314003045,32
701,1145  01,100314002431,33
702,1145  01,100314001887,34
703,1145  01,106768202307,35
704,1145  01,106346401333,36
705,1145  01,106346400901,37
706,1145  01,101909000862,38
707,1145  01,100314001518,39
708,1145  01,100314002054,40
709,1145  01,100314002536,41
710,1145  01,100314002886,42
711,1145  01,100314003200,43
712,1145  01,100314003718,44
713,1145  01,100314004444,45
714,1145  01,100314005100,46
715,1145  01,100314005438,47
716,1145  01,100314006020,48
717,1145  01,100314006500,49
718,1145  01,100314007100,50
719,1145  01,100314007650,51
720,1145  01,100314008292,52
721,1145  01,100314008720,53
722,1145  01,100314009610,54
723,1145  01,300154809407,55
724,1145  01,300154804123,56
725,1145  01,300542500250,57
726,1145  01,105514000032,58
727,1145  01,105514000126,59
728,1145  01,105514000256,60
729,1145  01,105514000452,61
730,1145  01,105908100284,62
731,1145  01,104562900111,63
732,1145  01,105909400036,64
733,1145  01,108106700010,65
734,1145  01,103448000208,66
735,1145  01,103448000420,67
736,1145  01,103448000556,68
737,1145  01,103448000670,69
738,1145  01,103448000950,70
739,1145  01,103448001230,71
740,1145  01,106869800154,72
741,1145  01,105698100080,73
742,1145  01,105698100330,74
743,1170  01,100770600050,1
744,1170  01,100125904171,2
745,1170  01,100125903877,3
746,1170  01,100125903629,4
747,1170  01,100125903239,5
748,1170  01,100125902981,6
749,1170  01,100125902755,7
750,1170  01,108125600449,8
751,1170  01,108125600840,9
752,1170  01,108125601190,10
753,1170  01,108125601620,11
754,1170  01,101722806608,12
755,1170  01,103810600250,13
756,1170  01,105577400444,14
757,1170  01,105577400818,15
758,1170  01,105577400998,16
759,1170  01,105577401330,17
760,1170  01,106084400050,18
761,1170  01,106084400288,19
762,1170  01,109162200174,20
763,1170  01,109162200388,21
764,1170  01,109162200630,22
765,1170  01,100813100170,23
766,1170  01,110880200054,24
767,1170  01,100608900523,25
768,1170  01,111040800022,26
769,1170  01,104038900525,27
770,1404A 03,106223101440,1
771,1404A 03,106223101600,2
772,1404A 03,106223102842,3
773,1404A 03,106223103074,4
774,1404A 03,108967700341,5
775,1404A 03,108967700075,6
776,1404A 03,108965100159,7
777,1404A 03,108965100069,8
778,1404A 03,108957600493,9
779,1404A 03,108957600179,10
780,1404A 03,108957600015,11
781,1404A 03,108972400739,12
782,1404A 03,109145900072,13
783,1404A 03,102229401911,14
784,1404A 03,102229401781,15
785,1404A 03,102229401651,16
786,1404A 03,102229401511,17
787,1404A 03,102229401371,18
788,1404A 03,102229401181,19
789,1404A 03,103947001081,20
790,1404A 03,101565400072,21
791,1404A 03,103947000771,22
792,1404A 03,101186800961,23
793,1404A 03,103477000301,24
794,1404A 03,101950000191,25
795,1404A 03,103348700261,26
796,1404A 03,103348700191,27
797,1404A 03,103348700031,28
798,1404A 03,107106600007,29
799,1404A 03,101220900423,30
800,1404A 03,104018701117,31
801,1404A 03,104018700979,32
802,1404A 03,104018700733,33
803,1404A 03,104018700353,34
804,1404A 03,104018700075,35
805,1404A 03,101990401331,36
806,1404A 03,104980600457,37
807,1404A 03,104980600285,38
808,1404A 03,100314003887,39
809,1404A 03,100314003717,40
810,1404A 03,100314003403,41
811,1404A 03,100314003155,42
812,1404A 03,100314002863,43
813,1404A 03,100314002481,44
814,1404A 03,100314002111,45
815,1404A 03,100314001887,46
816,1404A 03,106768202307,47
817,1404A 03,106346401233,48
818,1404A 03,106346400901,49
819,1404A 03,106996500560,50
820,1404A 03,106996500836,51
821,1404A 03,105129400140,52
822,1404A 03,105129400312,53
823,1404A 03,105129400480,54
824,1404A 03,105129400752,55
825,1404A 03,105129400920,56
826,1404A 03,105129401116,57
827,1404A 03,105129401286,58
828,1404A 03,105129401632,59
829,1404A 03,105129401984,60
830,1404A 03,105129402390,61
831,1404A 03,105129402636,62
832,1404A 03,105207000096,63
833,1404A 03,105207000280,64
834,1404A 03,105207000518,65
835,1404A 03,105207000684,66
836,1404A 03,105207001026,67
837,1404A 03,100063400440,68
838,1404A 03,101970200030,69
839,1404A 03,101970200210,70
840,1404A 03,103814700100,71
841,1404A 03,103814700420,72
842,1404A 03,101601000100,73
843,1404A 03,101601000500,74
844,1404A 03,104461300367,75
845,1404A 03,102892800122,76
846,1404A 03,102892800396,77
847,1404A 03,103792600065,78
848,1404A 03,100063402326,79
849,1404A 03,100063403000,80
850,1404A 03,110112200120,81
851,1404A 03,110124900691,82
852,1404A 03,110124900547,83
853,1404A 03,110122300074,84
854,1404A 03,110141200578,85
855,1404A 03,110313000138,86
856,1404A 03,110327200340,87
857,1404A 03,110327200520,88
858,1404A 03,110141201286,89
859,1404A 03,110302701417,90
860,1404A 03,110302701237,91
861,1404A 03,110302700915,92
862,1404A 03,110302700659,93
863,1404A 03,110302700559,94
864,1404A 03,110302700630,95
865,1404A 03,110302700724,96
866,1404A 03,110302700904,97
867,1404A 03,112325900269,98
868,1404A 03,112325900027,99
869,1404A 03,110302700630,100
870,1404A 03,110302700724,101
871,1404A 03,110302700904,102
872,1404A 05,110302700904,1
873,1404A 05,110302701346,2
874,1404A 05,110141201511,3
875,1404A 05,110141201287,4
876,1404A 05,110327200555,5
877,1404A 05,110327200341,6
878,1404A 05,110313000137,7
879,1404A 05,110122300487,8
880,1404A 05,110124900564,9
881,1404A 05,110124900746,10
882,1404A 05,110112200191,11
883,1404A 05,100063403041,12
884,1404A 05,100063402297,13
885,1404A 05,100063402027,14
886,1404A 05,100063401867,15
887,1404A 05,100063401709,16
888,1404A 05,100063401499,17
889,1404A 05,100063401205,18
890,1404A 05,100063400987,19
891,1404A 05,100063400745,20
892,1404A 05,100063400559,21
893,1404A 05,100063400385,22
894,1404A 05,105207001005,23
895,1404A 05,104983400693,24
896,1404A 05,104983400561,25
897,1404A 05,104983400261,26
898,1404A 05,104983400065,27
899,1404A 05,105456701441,28
900,1404A 05,105456701241,29
901,1404A 05,105456700985,30
902,1404A 05,105456700791,31
903,1404A 05,105456700559,32
904,1404A 05,105456700269,33
905,1404A 05,105456700077,34
906,1404A 05,106889001039,35
907,1404A 05,106889000819,36
908,1404A 05,106889000557,37
909,1404A 05,106889000383,38
910,1404A 05,106889000071,39
911,1404A 05,103140001168,40
912,1404A 05,100537600037,41
913,1404A 05,106994001089,42
914,1404A 05,106994000855,43
