id_linha,id_ponto,ordem
SC04B 01,101722805809,21
SC04B 01,101722805341,22
SC04B 01,101722805057,23
SC04B 01,101722804861,24
SC04B 01,101722804489,25
SC04B 01,102966901813,26
SC04B 01,102966901653,27
SC04B 01,102966901445,28
SC04B 01,102966901035,29
SE02  01,109113003015,1
SE02  01,109113003101,2
SE02  01,109113002855,3
SE02  01,109113002691,4
SE02  01,109113002431,5
SE02  01,109113001951,6
SE02  01,109113001685,7
SE02  01,109124401205,8
SE02  01,109124400845,9
SE02  01,109124400537,10
SE02  01,105783004343,11
SE02  01,105783004103,12
SE02  01,105783003235,13
SE02  01,105783002671,14
SE02  01,105783002357,15
SE02  01,105783002221,16
SE02  01,105783001961,17
SE02  01,105783001751,18
SE02  01,105783001585,19
SE02  01,105783001305,20
SE02  01,105783001143,21
SE02  01,105783000615,22
SE02  01,105783000411,23
SE02  01,105783000111,24
SE02  01,100273001881,25
SE02  01,100435800601,26
SE02  01,100435800075,27
SE02  01,101873800629,28
SE02  01,108125601460,29
SE02  01,108125601620,30
SE02  01,101722806608,31
SE02  01,101722807060,32
SE02  01,101722807510,33
SE02  01,100273001890,34
SE02  01,105783000350,35
SE02  01,105783000450,36
SE02  01,105783000650,37
SE02  01,105783001002,38
SE02  01,105783001380,39
SE02  01,105783001626,40
SE02  01,105783001710,41
SE02  01,105783001800,42
SE02  01,105783002222,43
SE02  01,105783002664,44
SE02  01,105783003270,45
SE02  01,105783004040,46
SE02  01,109124400004,47
SE02  01,109124400640,48
SE02  01,110869500185,49
SE02  01,109113001360,50
SE02  01,109113001708,51
SE02  01,109113001962,52
SE02  01,109113002130,53
SE02  01,109113002316,54
SE02  01,109113002690,55
SE02  01,100139000216,56
SE02  01,108602000033,57
SE02  01,109113003015,58
101   01,111652000342,1
101   01,105446600071,2
101   01,109152100041,3
101   01,110894400067,4
101   01,106084400085,5
101   01,106084403011,6
101   01,130022400030,7
101   01,130022400308,8
101   01,130022400518,9
101   01,130022400590,10
101   01,130022400718,11
101   01,130022400906,12
101   01,101031702906,13
101   01,101031702501,14
101   01,100988401184,15
101   01,100988400570,16
101   01,100988400417,17
101   01,101216400311,18
101   01,104054000904,19
101   01,101867800945,20
101   01,106286500185,21
101   01,101216400334,22
101   01,104035000172,23
101   01,100988400570,24
101   01,100988401184,25
101   01,104761101460,26
101   01,104799602190,27
101   01,101031702906,28
101   01,101879400035,29
101   01,111652000342,30
102   01,130167900001,1
102   01,117011302325,2
102   01,117011301983,3
102   01,117011301789,4
102   01,117011301525,5
102   01,117011301235,6
102   01,117011300960,7
102   01,117011300365,8
102   01,117011300055,9
102   01,100236500076,10
102   01,101998600331,11
102   01,101998600057,12
102   01,105195000791,13
102   01,105195000657,14
102   01,102634200427,15
102   01,104635700162,16
102   01,105068200432,17
102   01,105068200650,18
102   01,105068200788,19
102   01,105068201014,20
102   01,105068201206,21
102   01,101299000358,22
102   01,101299000530,23
102   01,101299000774,24
102   01,101998600540,25
102   01,130039900270,26
102   01,130039900392,27
102   01,117011301788,28
102   01,117011302240,29
102   01,130167900001,30
102   02,130167900001,1
102   02,117011302325,2
102   02,117011301983,3
102   02,117011301789,4
102   02,130601100284,5
102   02,130601100368,6
102   02,130601100854,7
102   02,117011300365,8
102   02,117011300055,9
102   02,100236500076,10
102   02,101998600331,11
102   02,101998600057,12
102   02,105195000791,13
102   02,105195000657,14
102   02,102634200427,15
102   02,104635700162,16
102   02,105068200432,17
102   02,105068200650,18
102   02,105068200788,19
102   02,105068201014,20
102   02,105068201206,21
102   02,101299000358,22
102   02,101299000530,23
102   02,101299000774,24
102   02,101998600540,25
102   02,117011301788,26
102   02,117011302240,27
102   02,130167900001,28
103   01,112720600521,1
103   01,104539501225,2
103   01,100365800270,3
103   01,102678700673,4
103   01,103188500098,5
103   01,100380600295,6
103   01,100380600593,7
103   01,102344500105,8
103   01,108844400035,9
103   01,102315500052,10
103   01,102315500256,11
103   01,108920400325,12
103   01,130144800051,13
103   01,117235100115,14
103   01,117235100049,15
103   01,130040800054,16
103   01,102322800569,17
103   01,102322800521,18
103   01,102322800455,19
103   01,102322800349,20
103   01,102322800225,21
103   01,101117400171,22
103   01,105494500433,23
103   01,100157700033,24
103   01,105068200432,25
103   01,106474400212,26
103   01,105494500757,27
