id_linha,nome_linha,shape_id,ponto_inicial,ponto_final
3302A 01,3302A,3302A-01I,300107700825,300107700825
1145  01,1145,1145-01I,105698100330,105698100330
4034  10,4034,4034-10I,100694600080,100694600080
4107  06,4107,4107-06V,130601100342,111762400014
811   01,811,811-01I,101865205600,101865205600
50    01,50,50-01I,105481603700,105481603700
614   01,614,614-01I,110242800056,110242800056
644   01,644,644-01I,112652100051,112652100051
645   01,645,645-01I,111427600521,111427600521
814   01,814,814-01I,101865205600,101865205600
62    01,62,62-01I,107042600140,101153700105
624   01,624,624-01I,107042600140,101153700105
3052  02,3052,3052-02I,130311900120,130312000050
715   01,715,715-01I,101865205600,101865205600
104   01,104,104-01I,101722811675,101722811675
33    01,33,33-01I,100980200007,100980200007
330   01,330,330-01I,100980200007,100130600640
1404A 05,1404A,1404A-05V,110302700904,106223101440
9407  04,9407,9407-04V,104745000356,102813301374
9501  07,9501,9501-07I,102315500201,111098400036
810   01,810,810-01I,101865205600,101865205600
201   03,201,201-03I,117062002431,117062002431
4802A 05,4802A,4802A-05I,106534300002,104830900830
822   03,822,822-03I,109822800112,103261701820
8205  06,8205,8205-06I,109007800166,102922400045
9201  07,9201,9201-07V,106588902379,100918800001
9204  06,9204,9204-06I,104539501901,104539501901
302   01,302,302-01I,130311900120,130312000050
319   01,319,319-01I,130323500014,130323500014
5102  04,5102,5102-04V,106287800604,110428800190
623   01,623,623-01I,107042600140,101153700105
9206  01,9206,9206-01I,100891300035,102471200540
66    01,66,66-01I,110998800036,110998800036
9411  03,9411,9411-03V,108025300178,111617000531
5104  05,5104,5104-05I,107134300143,107134300143
737   04,737,737-04I,108625000669,110998800036
739   04,739,739-04I,130053200385,110998800036
717   04,717,717-04I,106811100039,105289203700
608   06,608,608-06I,130319200300,101153700105
903   01,903,903-01I,108810000200,108810000200
4802A 12,4802A,4802A-12I,106534300002,104830900830
3029  02,3029,3029-02I,102331600590,101137600237
5033  01,5033,5033-01I,108296800379,108296800379
3030  04,3030,3030-04I,109276700200,109276700200
4201  05,4201,4201-05V,103377700013,103594600110
6350  02,6350,6350-02I,110998800036,110998800036
719   04,719,719-04I,110107500020,105289203700
6017  01,6017,6017-01I,108510200227,101137600487
702   01,702,702-01I,110998800036,110998800036
8350  02,8350,8350-02V,100980200007,101865205600
717   02,717,717-02I,106811100039,106811100039
719   02,719,719-02I,105481603700,105289203700
51    02,51,51-02I,105481603700,105481603700
2035  01,2035,2035-01I,300520000372,300520000372
3030  01,3030,3030-01I,109276700200,109276700200
712   03,712,712-03I,102367500972,105289203700
8207  03,8207,8207-03I,107470400140,100314000322
739   01,739,739-01I,130053200385,130053200385
83P   02,83P,83P-02I,101865205600,101865205600
64    10,64,64-10I,110998800036,110998800036
626   06,626,626-06I,600026400247,600026400247
3302B 01,3302B,3302B-01I,600001100057,600001100057
9103  03,9103,9103-03V,106287800602,100295800122
9105  05,9105,9105-05I,700000100270,700000100270
302   04,302,302-04I,130311900120,130312000050
321   01,321,321-01I,110256000098,110256000098
711   01,711,711-01I,101865205600,101865205600
330   04,330,330-04I,104294900119,100130600640
